       JobID              Submit               Start            Eligible  Partition          Reservation AllocNodes  AllocCPUS ReqNodes  ReqCPUS      ReqGRES  Timelimit    Elapsed  dragonstooth
------------ ------------------- ------------------- ------------------- ---------- -------------------- ---------- ---------- -------- -------- ------------ ---------- ----------  dragonstooth
618989       2021-02-07T19:20:05 2021-02-07T23:37:29 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:49:06  dragonstooth
618990       2021-02-07T19:20:05 2021-02-07T23:40:15 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   03:11:33  dragonstooth
618991       2021-02-07T19:20:05 2021-02-07T23:41:36 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   03:00:28  dragonstooth
618992       2021-02-07T19:20:05 2021-02-07T23:42:13 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   03:01:03  dragonstooth
618993       2021-02-07T19:20:05 2021-02-07T23:42:28 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:54:34  dragonstooth
618994       2021-02-07T19:20:05 2021-02-07T23:43:28 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:54:50  dragonstooth
618995       2021-02-07T19:20:05 2021-02-07T23:44:08 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:47:39  dragonstooth
618996       2021-02-07T19:20:05 2021-02-07T23:44:46 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:43:55  dragonstooth
618997       2021-02-07T19:20:05 2021-02-07T23:44:56 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:33:05  dragonstooth
618998       2021-02-07T19:20:05 2021-02-07T23:45:32 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   03:32:06  dragonstooth
618999       2021-02-07T19:20:05 2021-02-07T23:46:05 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:52:56  dragonstooth
619000       2021-02-07T19:20:05 2021-02-07T23:46:19 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:55:23  dragonstooth
619001       2021-02-07T19:20:05 2021-02-07T23:48:40 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:31:00  dragonstooth
619002       2021-02-07T19:20:05 2021-02-07T23:49:44 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   03:31:43  dragonstooth
619003       2021-02-07T19:20:05 2021-02-07T23:49:46 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:28:56  dragonstooth
619004       2021-02-07T19:20:05 2021-02-07T23:49:57 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:10:14  dragonstooth
619005       2021-02-07T19:20:05 2021-02-07T23:50:35 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:16:28  dragonstooth
619006       2021-02-07T19:20:05 2021-02-07T23:51:03 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:37:23  dragonstooth
619007       2021-02-07T19:20:05 2021-02-07T23:51:50 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:27:06  dragonstooth
619008       2021-02-07T19:20:05 2021-02-07T23:54:45 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:32:40  dragonstooth
619009       2021-02-07T19:20:05 2021-02-07T23:54:55 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:24:19  dragonstooth
619010       2021-02-07T19:20:05 2021-02-07T23:55:04 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:30:59  dragonstooth
619011       2021-02-07T19:20:05 2021-02-07T23:55:23 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   03:17:24  dragonstooth
619012       2021-02-07T19:20:05 2021-02-07T23:55:40 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:31:48  dragonstooth
619013       2021-02-07T19:20:05 2021-02-07T23:56:13 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   03:32:23  dragonstooth
619014       2021-02-07T19:20:05 2021-02-07T23:56:13 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:42:56  dragonstooth
619015       2021-02-07T19:20:05 2021-02-07T23:57:04 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:25:52  dragonstooth
619016       2021-02-07T19:20:05 2021-02-07T23:59:07 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:36:23  dragonstooth
619017       2021-02-07T19:20:05 2021-02-07T23:59:49 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:23:20  dragonstooth
619018       2021-02-07T19:20:05 2021-02-08T00:00:49 2021-02-07T19:20:05   normal_q                               1          1        1        1                08:00:00   02:41:23  dragonstooth
