       JobID              Submit               Start            Eligible  Partition          Reservation AllocNodes  AllocCPUS ReqNodes  ReqCPUS      ReqGRES  Timelimit    Elapsed  cascades
------------ ------------------- ------------------- ------------------- ---------- -------------------- ---------- ---------- -------- -------- ------------ ---------- ----------  cascades
601920       2021-03-08T11:59:59 2021-03-08T12:00:22 2021-03-08T11:59:59   normal_q                               1          2        1        2                12:00:00   12:00:08  cascades
604081       2021-03-08T14:44:44 2021-03-08T15:01:17 2021-03-08T14:44:44   normal_q                               1         32        1        1                02:00:00   02:00:11  cascades
604100       2021-03-08T14:46:48 2021-03-08T14:46:54 2021-03-08T14:46:48   normal_q                               1          6        1        6                02:00:00   02:00:04  cascades
604150       2021-03-08T14:51:33 2021-03-08T14:51:55 2021-03-08T14:51:33      dev_q                               1         16        1       16                02:00:00   02:00:03  cascades
604198       2021-03-08T14:55:45 2021-03-08T15:20:22 2021-03-08T14:55:45   normal_q                               2         64        2       64                10:00:00   01:32:27  cascades
604199       2021-03-08T14:55:45 2021-03-08T15:22:03 2021-03-08T14:55:45   normal_q                               2         64        2       64                10:00:00   02:34:19  cascades
604252       2021-03-08T15:01:07 2021-03-08T15:22:03 2021-03-08T15:01:07   normal_q                               5        160        5      160              3-00:00:00   05:12:00  cascades
604268       2021-03-08T15:02:26 2021-03-08T15:02:27 2021-03-08T15:02:26   normal_q                               1         16        1       16                04:00:00   04:00:02  cascades
604486       2021-03-08T15:22:58 2021-03-08T15:22:58 2021-03-08T15:22:58   normal_q                               3         96        3        3                20:00:00   03:53:14  cascades
604487       2021-03-08T15:22:58 2021-03-08T15:22:58 2021-03-08T15:22:58   normal_q                               3         96        3        3                20:00:00   03:53:14  cascades
604488       2021-03-08T15:22:58 2021-03-08T15:22:59 2021-03-08T15:22:58   normal_q                               3         96        3        3                20:00:00   03:53:13  cascades
604489       2021-03-08T15:22:58 2021-03-08T15:22:59 2021-03-08T15:22:58   normal_q                               3         96        3        3                20:00:00   03:53:13  cascades
604490       2021-03-08T15:22:58 2021-03-08T15:22:59 2021-03-08T15:22:58   normal_q                               3         96        3        3                20:00:00   03:53:13  cascades
604491       2021-03-08T15:22:58 2021-03-08T15:24:10 2021-03-08T15:22:58   normal_q                               3         96        3        3                20:00:00   03:52:02  cascades
604492       2021-03-08T15:22:58 2021-03-08T15:53:13 2021-03-08T15:22:58   normal_q                               3         96        3        3                20:00:00   03:22:59  cascades
604503       2021-03-08T15:23:49 2021-03-08T16:09:31 2021-03-08T15:23:49   normal_q                               5        160        5      160              3-00:00:00   11:30:07  cascades
604775       2021-03-08T15:49:53 2021-03-08T16:03:09 2021-03-08T15:49:53   normal_q                               1         32        1       32              1-00:00:00   03:19:34  cascades
604794       2021-03-08T15:51:37 2021-03-08T15:52:07 2021-03-08T15:51:37   normal_q                               1          1        1        1                03:00:00   03:00:22  cascades
604822       2021-03-08T15:54:35 2021-03-08T16:06:39 2021-03-08T15:54:35   normal_q                               1         24        1       24                15:59:00   07:29:34  cascades
604940       2021-03-08T16:05:55 2021-03-08T16:05:55 2021-03-08T16:05:55 v100_dev_q                               1          1        1        1        gpu:1   02:00:00   02:00:04  cascades
605306       2021-03-08T16:28:36 2021-03-08T16:28:49 2021-03-08T16:28:36   normal_q                               1          1        1        1              2-22:00:00   00:01:13  cascades
605310       2021-03-08T16:28:50 2021-03-08T16:29:19 2021-03-08T16:28:50   normal_q                               1          1        1        1              2-22:00:00   00:01:13  cascades
605323       2021-03-08T16:29:47 2021-03-08T16:29:49 2021-03-08T16:29:47   normal_q                               1          1        1        1              2-22:00:00   00:00:21  cascades
605325       2021-03-08T16:29:48 2021-03-08T16:30:19 2021-03-08T16:29:48   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605326       2021-03-08T16:30:00 2021-03-08T16:30:19 2021-03-08T16:30:00   normal_q                               1          1        1        1              2-22:00:00   00:00:04  cascades
605327       2021-03-08T16:30:03 2021-03-08T16:30:19 2021-03-08T16:30:03   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
605328       2021-03-08T16:30:03 2021-03-08T16:30:19 2021-03-08T16:30:03   normal_q                               1          1        1        1              2-22:00:00   00:00:04  cascades
605329       2021-03-08T16:30:06 2021-03-08T16:30:19 2021-03-08T16:30:06   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605330       2021-03-08T16:30:06 2021-03-08T16:30:31 2021-03-08T16:30:06   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
